Loop Number,Accuracy,Precision,Recall,F1-Score,CM-11,CM-21,CM-31,CM-12,CM-22,CM-32,CM-31,CM-32,CM-33
1,0.950819672131147,0.954878048780488,0.955753968253968,0.955315807736827,57,1,5,0,40,0,3,0,77
2,0.896174863387978,0.912711291413117,0.90734126984127,0.910018358567057,51,0,12,0,40,0,7,0,73
3,0.907103825136612,0.929487179487179,0.913425925925926,0.92138656463571,49,0,14,0,40,0,3,0,77
4,0.885245901639344,0.904693486590038,0.896759259259259,0.900708900369934,49,0,14,0,40,0,7,0,73
5,0.901639344262295,0.915589876901904,0.910383597883598,0.912979315230931,50,1,12,0,40,0,5,0,75
6,0.87431693989071,0.919456231337419,0.879431216931217,0.898998448422445,41,0,22,0,40,0,1,0,79
7,0.879781420765027,0.899934640522876,0.90271164021164,0.90132100136546,58,0,5,0,40,0,17,0,63
8,0.890710382513661,0.919308148791432,0.89755291005291,0.908300279943195,46,0,17,0,40,0,3,0,77
9,0.87431693989071,0.914820053433915,0.878306878306878,0.896191709712409,40,2,21,0,40,0,0,0,80
10,0.885245901639344,0.919668310783293,0.890013227513228,0.90459779160079,43,1,19,0,40,0,1,0,79
11,0.950819672131147,0.956709956709957,0.959126984126984,0.957916945752824,60,0,3,0,40,0,6,0,74
12,0.907103825136612,0.92237998647735,0.916798941798942,0.919580996212806,52,0,11,0,40,0,6,0,74
13,0.901639344262295,0.922990915443746,0.909259259259259,0.916073631937779,49,0,14,0,40,0,4,0,76
14,0.885245901639344,0.905830753353973,0.903835978835979,0.904832266686641,59,0,4,1,39,0,16,0,64
15,0.85792349726776,0.891149961149961,0.863558201058201,0.87713714895509,38,4,21,0,40,0,1,0,79
16,0.87431693989071,0.892235609103079,0.889550264550265,0.890890913273934,50,0,13,0,40,0,10,0,70
17,0.907103825136612,0.92661950339853,0.914550264550265,0.920545325828019,50,0,13,0,40,0,4,0,76
18,0.852459016393443,0.874766105319433,0.865343915343915,0.870029501121659,47,0,16,1,39,0,10,0,70
19,0.879781420765027,0.902280248424679,0.885846560846561,0.893987888154905,43,3,17,0,40,0,2,0,78
20,0.890710382513661,0.92331560283688,0.896428571428571,0.909673456888932,45,0,18,0,40,0,2,0,78
21,0.87431693989071,0.887855297157623,0.883928571428572,0.885887582979366,45,3,15,0,40,0,5,0,75
22,0.85792349726776,0.868981481481481,0.869179894179894,0.869080676506193,43,4,16,0,40,0,5,1,74
23,0.85792349726776,0.865176203590371,0.878174603174603,0.871626945438425,51,2,10,0,40,0,13,1,66
